grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
2, dfid, 11puzzle , "12 6 9 1 8 7 5 13 4 2 3 14 10 15 11 0", na, na, na, na
2, dfid, 11puzzle , "5 4 0 1 2 3 6 7 8 9 10 11 12 13 14 15", 2, 79, 5e-06, 1.58e+07
2, dfid, 11puzzle , "2 3 4 5 6 7 8 9 10 0 1 11 12 13 14 15", 3, 1839, 5.6e-05, 3.28393e+07
2, dfid, 11puzzle , "7 9 0 4 1 15 2 3 13 6 14 5 10 11 12 8", na, na, na, na
2, dfid, 11puzzle , "3 6 4 5 0 10 9 8 7 2 1 11 12 13 14 15", 7, 67486723, 1.76147, 3.83128e+07
2, dfid, 11puzzle , "4 7 5 10 0 6 12 15 1 2 3 13 11 14 8 9", na, na, na, na
2, dfid, 11puzzle , "10 15 6 3 1 2 0 7 8 4 9 12 13 14 11 5", na, na, na, na
2, dfid, 11puzzle , "11 10 2 1 0 12 13 14 6 5 4 3 15 9 7 8", 8, 219256497, 5.84274, 3.75263e+07
2, dfid, 11puzzle , "13 14 12 11 10 9 0 1 2 8 7 6 5 4 3 15", 4, 6005, 0.00063, 9.53175e+06
2, dfid, 11puzzle , "15 14 3 4 5 1 2 13 12 7 6 0 8 9 10 11", na, na, na, na
2, dfid, 11puzzle , "9 8 7 6 4 3 13 12 11 0 1 2 10 5 14 15", 6, 6649533, 0.213949, 3.108e+07
2, dfid, 11puzzle , "9 10 11 12 8 7 6 5 4 3 2 1 0 13 14 15", 2, 57, 4e-06, 1.425e+07
2, dfid, 11puzzle , "8 9 12 11 10 5 13 7 6 4 3 2 1 0 14 15", 7, 34317621, 0.923242, 3.71708e+07
2, dfid, 11puzzle , "12 4 3 7 5 8 9 10 11 2 6 1 0 13 14 15", na, na, na, na
